,name,price,size,cpu_com,cpu_gen,cpu_type,cpu,core,OS,pixel,display,ram_type,ram,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
314,MSI 브라보 17 A4DDR WIN10 16GB램,"1,260,000",43.94cm(17.3인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),256GB,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트
315,MSI GF시리즈 GF63 Thin 10SC-i5 WIN10 32GB램,"1,259,470",39.62cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10300H (2.5GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,광시야각,눈부심방지,슬림형 베젤,DDR4,32GB,M.2(NVMe),512GB,GTX1650,MAX-Q,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
316,MSI 브라보 17 A4DDR WIN10 32GB램,"1,316,000",43.94cm(17.3인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,32GB,M.2(NVMe),256GB,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트
317,LG전자 그램15 15Z90N-EB36K,"1,243,730",39.6cm(15.6인치),인텔,코어i3-10세대,아이스레이크,듀얼코어,운영체제(OS),윈도우10,1920x1080(FHD),sRGB,96%,IPS,광시야각,슬림형 베젤,DDR4,4GB,SSD,128GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),썬더볼트3,1개,USB 3.1 Type-C,USB 3.1,UFS,키보드 라이트
318,APPLE 2020 맥북에어 MGNE3KH/A,"1,495,540",33.78cm(13.3인치),옥타코어,운영체제(OS),2560x1600(WQXGA),DCI-P3,지원,400nit,IPS,트루톤,8GB,SSD,512GB,802.11ax(Wi-Fi 6),웹캠(HD),썬더볼트3,2개,USB 3.1 Type-C,지문 인식,USB-PD,ㅗ형 방향키,배터리,49.9Wh,두께,16.1mm,무게,1.29kg
319,Razer BLADE 15 Base 10Gen R3070 FHD,"2,649,000",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),sRGB,100%,144Hz,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:8GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.1,웹캠(HD),썬더볼트3,1개,USB 3.1 Type-C,USB 3.1
320,MSI GF시리즈 GF63 Thin 10SC-i5 16GB램,"1,067,180",39.62cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10300H (2.5GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,GTX1650,MAX-Q,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
321,MSI GL시리즈 GL75 9SDK WIN10,"1,278,990",43.94cm(17.3인치),인텔,코어i7-9세대,커피레이크-R,i7-9750H (2.6GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,mini DP,웹캠,USB Type-C,USB 3.0
322,MSI GF시리즈 GF63 Thin 10SC-i5 WIN10,"1,115,660",39.62cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10300H (2.5GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,GTX1650,MAX-Q,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
323,MSI GL시리즈 GL75 9SD WIN10 16GB램,"1,398,990",43.94cm(17.3인치),인텔,코어i7-9세대,커피레이크-R,i7-9750H (2.6GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),120Hz,광시야각,눈부심방지,DDR4,16GB,M.2(NVMe),1TB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,mini DP,웹캠,USB Type-C,USB 3.0,키보드 라이트
324,한성컴퓨터 BossMonster X5067T,"1,249,000",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10875H (2.3GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,sRGB,100%,300nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),250GB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
325,MSI 프레스티지 14 A11SCX 카본 그레이,"1,467,110",35.56cm(14인치),인텔,코어i7-11세대,타이거레이크,i7-1185G7 (3.0GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),sRGB,약 100%,300nit,광시야각,눈부심방지,슬림형 베젤,LPDDR4,16GB,M.2(NVMe),512GB,GTX1650,MAX-Q,VRAM:4GB,802.11ax(Wi-Fi 6),웹캠(HD),USB 2.0,키보드 라이트
326,ACER Swift3 SF314-59 플라이 i5,"730,000",35.56cm(14인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB 3.1 Type-C,USB 3.0,USB 2.0,키보드 라이트,지문 인식,USB-PD,ㅗ형 방향키,배터리
327,LG전자 2020 울트라PC 15U40N-GA76K,"1,209,000",39.6cm(15.6인치),AMD,라이젠7-3세대,르누아르,4700U (2.0GHz),옥타코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,52Wh
328,레노버 플렉스5 14ARE R3 W10,"699,000",35.5cm(14인치),AMD,라이젠3-3세대,르누아르,4300U (2.7GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,터치스크린,DDR4,8GB,M.2(NVMe),128GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트,지문 인식,고속충전,전용 펜 지원
329,MSI GF시리즈 GF65 Thin 9SD,"1,069,000",39.62cm(15.6인치),인텔,코어i7-9세대,커피레이크-R,i7-9750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 3.0
330,GIGABYTE AORUS 17X YB i9,"3,490,000",43.9cm(17.3인치),인텔,코어i9-10세대,코멧레이크,i9-10980HK (2.4GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,300nit,240Hz,IPS,광시야각,슬림형 베젤,DDR4,32GB,M.2(NVMe),1TB,HDD,2TB,RTX2080 SUPER,VRAM:8GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
331,레노버 씽크패드 T15-6KR,"1,749,000",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10510U (1.8GHz),쿼드코어,운영체제(OS),윈도우10 프로,1920x1080(FHD),250nit,VA,광시야각,눈부심방지,DDR4,16GB,M.2(NVMe),512GB,MX330,VRAM:2GB,유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),썬더볼트3,1개,USB Type-C
